file,class,method,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,"contentType/0[]",0.0,1.0,1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,"contentType/1[java.lang.String]",0.0,1.0,1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,"create/2[java.lang.String, java.lang.String]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,"create/3[java.lang.String, java.lang.String, java.io.InputStream]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,"hasInputStream/0[]",0.0,1.0,1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,"inputStream/0[]",0.0,1.0,1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,"inputStream/1[java.io.InputStream]",0.0,2.0,1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,"key/0[]",0.0,1.0,1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,"key/1[java.lang.String]",0.0,1.0,1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,"toString/0[]",0.0,2.0,1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,"value/0[]",0.0,1.0,1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,"value/1[java.lang.String]",0.0,1.0,1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$Response,"body/0[]",1.0,4.0,0.8,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$Response,"bodyAsBytes/0[]",1.0,1.0,0.5,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$Response,"bodyStream/0[]",1.0,5.0,0.8333333,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$Response,"bufferUp/0[]",0.0,0.0,-1.0,0.0
