file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\helper\CookieUtil.java,org.jsoup.helper.CookieUtil,0,-1,9,5,0.35714287,-1,4
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\CombiningEvaluator.java,org.jsoup.select.CombiningEvaluator$Or,2,0.6666667,2,3,0.6,0,1
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\nodes\Node.java,org.jsoup.nodes.Node,0,-1,22,60,0.73170733,-1,7
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\helper\AuthenticationHandler.java,org.jsoup.helper.AuthenticationHandler$GlobalHandler,0,-1,2,0,0,-1,1
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\nodes\Document.java,org.jsoup.nodes.Document,16,0.17857143,3,21,0.875,0,2
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\internal\SimpleStreamReader.java,org.jsoup.internal.SimpleStreamReader,0,0,0,5,1,-1,0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\safety\Safelist.java,org.jsoup.safety.Safelist$TypedValue,0,-1,2,3,0.6,-1,1
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\NodeEvaluator.java,org.jsoup.select.NodeEvaluator$BlankValue,2,0.6666667,0,0,-1,0,0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\helper\Validate.java,org.jsoup.helper.Validate,0,-1,0,0,-1,-1,0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\internal\StringUtil.java,org.jsoup.internal.StringUtil$StringJoiner,0,-1,0,7,1,-1,0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$10,0,0,10,2,0.16666667,-1,5
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$10,0,0,0,7,1,-1,0
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$11,0,0,2,3,0.6,-1,1
