file,class,method,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\HikariCP\src\main\java\com\zaxxer\hikari\pool\ProxyStatement.java,com.zaxxer.hikari.pool.ProxyStatement,"checkException/1[java.sql.SQLException]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\HikariCP\src\main\java\com\zaxxer\hikari\pool\ProxyStatement.java,com.zaxxer.hikari.pool.ProxyStatement,"close/0[]",0.0,3.0,1.0,0.0
C:\Users\syuuj\HikariCP\src\main\java\com\zaxxer\hikari\pool\ProxyStatement.java,com.zaxxer.hikari.pool.ProxyStatement,"execute/1[java.lang.String]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\HikariCP\src\main\java\com\zaxxer\hikari\pool\ProxyStatement.java,com.zaxxer.hikari.pool.ProxyStatement,"execute/2[java.lang.String, int]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\HikariCP\src\main\java\com\zaxxer\hikari\pool\ProxyStatement.java,com.zaxxer.hikari.pool.ProxyStatement,"execute/2[java.lang.String, int[]]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\HikariCP\src\main\java\com\zaxxer\hikari\pool\ProxyStatement.java,com.zaxxer.hikari.pool.ProxyStatement,"execute/2[java.lang.String, java.lang.String[]]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\HikariCP\src\main\java\com\zaxxer\hikari\pool\ProxyStatement.java,com.zaxxer.hikari.pool.ProxyStatement,"executeBatch/0[]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\HikariCP\src\main\java\com\zaxxer\hikari\pool\ProxyStatement.java,com.zaxxer.hikari.pool.ProxyStatement,"executeLargeBatch/0[]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\HikariCP\src\main\java\com\zaxxer\hikari\pool\ProxyStatement.java,com.zaxxer.hikari.pool.ProxyStatement,"executeLargeUpdate/1[java.lang.String]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\HikariCP\src\main\java\com\zaxxer\hikari\pool\ProxyStatement.java,com.zaxxer.hikari.pool.ProxyStatement,"executeLargeUpdate/2[java.lang.String, int]",0.0,0.0,-1.0,0.0
