file,class,method,variable,usage
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$IndexEvaluator,IndexEvaluator/1[int],index,3
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$TagStartsWith,"matches/2[org.jsoup.select.Element,org.jsoup.select.Element]",tagName,1
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$TagStartsWith,toString/0,tagName,1
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$TagStartsWith,TagStartsWith/1[java.lang.String],tagName,3
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\QueryParser.java,org.jsoup.select.QueryParser,parse/1[java.lang.String],query,3
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\QueryParser.java,org.jsoup.select.QueryParser,"parseNested/2[java.util.function.Function<org.jsoup.select.Evaluator,org.jsoup.select.Evaluator>,java.lang.String]",tq,2
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\QueryParser.java,org.jsoup.select.QueryParser,byId/0,tq,1
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\QueryParser.java,org.jsoup.select.QueryParser,QueryParser/1[java.lang.String],query,8
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\QueryParser.java,org.jsoup.select.QueryParser,QueryParser/1[java.lang.String],tq,1
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\QueryParser.java,org.jsoup.select.QueryParser,contains/1[boolean],inNodeContext,1
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\QueryParser.java,org.jsoup.select.QueryParser,parseSimpleSequence/0,query,1
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\QueryParser.java,org.jsoup.select.QueryParser,parseSimpleSequence/0,tq,5
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\QueryParser.java,org.jsoup.select.QueryParser,byClass/0,tq,1
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\QueryParser.java,org.jsoup.select.QueryParser,parseSelector/0,SequenceEnders,1
C:\Users\sugii syuji\jsoup\src\main\java\org\jsoup\select\QueryParser.java,org.jsoup.select.QueryParser,parseSelector/0,tq,6
